"id","prioridad","tipo","prospecto","dominio","url_fuente","contacto_url","autoridad_proxy","relevancia","oportunidad","pitch_recomendado","url_destino_sugerida","estado","riesgo_toxicidad","notas"
"BL-001","P1","Medio economico","Gestion","gestion.pe","https://gestion.pe/tecnologia/","https://gestion.pe/quienes-somos/","Alta","Alta","Nota editorial, entrevista o branded content sobre conectividad, IA, nube y ciberseguridad empresarial","Pitch 1","https://www.mcperu.pe/soluciones/connection.html","Prospecto","Bajo","Grupo El Comercio; validar si la oportunidad sera editorial o pagada. Si es pagada, exigir rel sponsored/nofollow."
"BL-002","P1","Medio / grupo editorial","Grupo El Comercio MediaKit","grupoelcomerciomediakit.com","https://grupoelcomerciomediakit.com/","https://grupoelcomerciomediakit.com/#contacto","Alta","Alta","Branded content, comunicados digitales o backlinks dentro de medios del grupo","Pitch 1","https://www.mcperu.pe/soluciones.html","Prospecto","Bajo","El mediakit declara marcas como El Comercio y Gestion; usar por visibilidad, no comprar dofollow."
"BL-003","P1","Portal tech","Canal TI","canalti.pe","https://canalti.pe/","https://canalti.pe/contactanos/","Alta","Muy alta","Nota tecnica, entrevista, columna o cobertura de soluciones TI para empresas","Pitch 2","https://www.mcperu.pe/soluciones/security.html","Prospecto","Bajo","Portal especializado en canal TI Peru; excelente encaje para cloud, ciberseguridad y conectividad."
"BL-004","P1","Camara / medio empresarial","La Camara - CCL","lacamara.pe","https://lacamara.pe/","https://publicidad.camaralima.org.pe/","Alta","Alta","Nota en Revista La Camara, CCL Digital, directorio empresarial o suplemento Tecnologia","Pitch 3","https://www.mcperu.pe/soluciones/cloud.html","Prospecto","Bajo","CCL ofrece notas, entrevistas, publireportajes, directorio y suplementos; revisar modalidad."
"BL-005","P1","Gremio telecom","APTC Peru","aptcperu.org","https://aptcperu.org/","https://aptcperu.org/","Alta","Muy alta","Mencion como expositor, nota post-evento, directorio de asociados o contenido tecnico para Cumbre APTC","Pitch 4","https://www.mcperu.pe/blog/conectividad-empresarial-peru.html","Prospecto","Bajo","Media Commerce Peru ya comunico participacion en Cumbre APTC 2026; oportunidad natural."
"BL-006","P1","Gremio infraestructura","AFIN","afin.org.pe","https://afin.org.pe/asociados/comites-afin/","https://afin.org.pe/contactenos/","Alta","Muy alta","Comite de Telecomunicaciones, opinion tecnica, noticia de conectividad o participacion institucional","Pitch 4","https://www.mcperu.pe/soluciones/connection.html","Prospecto","Bajo","AFIN tiene comite de telecomunicaciones; ideal para autoridad sectorial."
"BL-007","P1","Camara binacional","AmCham Peru","amcham.org.pe","https://amcham.org.pe/","https://amcham.org.pe/nosotros/como-asociarse/","Alta","Alta","Articulo para socios, webinar, foro o noticia de transformacion digital","Pitch 3","https://www.mcperu.pe/soluciones/security.html","Prospecto","Bajo","Tiene eventos y notas de prensa; validar membresia o colaboracion."
"BL-008","P1","Camara binacional","AHK Peru - Camara Peruano-Alemana","peru.ahk.de","https://peru.ahk.de/es/","https://peru.ahk.de/es/","Alta","Alta","Noticias de socios, evento de innovacion/tecnologia, directorio o articulo para red empresarial","Pitch 3","https://www.mcperu.pe/soluciones/cloud.html","Prospecto","Bajo","AHK enfatiza innovacion, tecnologia y transferencia de know-how; alto encaje B2B."
"BL-009","P2","Gremio empresarial","ComexPeru","comexperu.org.pe","https://www.comexperu.org.pe/nosotros","https://www.comexperu.org.pe/nosotros","Alta","Media-alta","Semanario, columna o aporte sobre infraestructura digital para comercio exterior y servicios","Pitch 3","https://www.mcperu.pe/blog/cloud-colaboracion-productividad.html","Prospecto","Bajo","Relevante si se conecta con comercio exterior, logistica, servicios e inversion privada."
"BL-010","P2","Asociacion tech","APESOFT","apesoft.org","https://www.apesoft.org/","https://www.apesoft.org/","Media-alta","Alta","Alianza, evento, directorio o contenido sobre software, economia digital y conectividad segura","Pitch 3","https://www.mcperu.pe/soluciones.html","Prospecto","Bajo","Asociacion peruana de software, tecnologia, innovacion y economia digital."
